歌名,難度,分數,PlayPTT
世界征服者,108,9959956,125997
奇點,107,9978396,125919
Live Fast Die Young,106,9993518,125675
LAMIA,109,9921862,125093
GL,113,9839214,124960
骨折光,113,9836929,124846
綠魔王,107,9953766,124688
Ego Eimi,105,9992996,124649
天堂門,108,9929623,124481
w4,108,9929452,124472
GENOCIDER,107,9947408,124370
AxiumCrisis,107,9946191,124309
misdeed,109,9906067,124303
Ow,106,9965221,124261
ii,108,9924833,124241
銜尾蛇,107,9939158,123957
船,107,9938942,123947
Abstruse Dilemma,111,9858081,123904
蜘蛛,108,9917958,123897
sheriruth(remix),106,9956896,123844
蛋撻,109,9892933,123646
Arcana Eden,105,9970981,123549
辱華,107,9930947,123547
Aurgelmir,105,9964638,123231
Last Celebration,105,9964107,123205
PUPA,104,9978123,122906
狂戰士,109,9877315,122865
V0,104,9975521,122776
Seclusion,106,9934813,122740
體罰,104,9968772,122438
光速,108,9888253,122412
Testify,108,9885502,122275
AM,107,9905043,122252
manic jeer,106,9923452,122172
Rise of the world,104,9962820,122141
lightning Screw,105,9942332,122116
怒槌,104,9960408,122020
gengaozo,102,10001208,122000
To the MIlky Way,104,9958163,121908
NULL APOPHENIA,106,9916533,121826
Lucid Traveler,105,9930381,121519
Corps-sans-organes,106,9903440,121172
CHAOS,109,9840540,121027
光追,111,9800435,121021
Guardina,104,9934080,120704
chronicle-lime,104,9906184,119309
Arghena,113,9686135,119204
cyanine,106,9860154,119007
Primitive lights,107,9817626,117881
最強,110,9726619,117553
